FECHA,COD_DIA VISITA,DIA VISITA,COD SEMANAL,SEMANAL,COD QUINCENAL,QUINCENAL ,COD MENSUAL,MENSUAL
31/08/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
1/9/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
2/9/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
3/9/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
4/9/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
5/9/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
6/9/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
7/9/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
8/9/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
9/9/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
10/9/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
11/9/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
12/9/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
13/09/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
14/09/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
15/09/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
16/09/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
17/09/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
18/09/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
19/09/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
20/09/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
21/09/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
22/09/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
23/09/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
24/09/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
25/09/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
26/09/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
27/09/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
28/09/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
29/09/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
30/09/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
1/10/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
2/10/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
3/10/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
4/10/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
5/10/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
6/10/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
7/10/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
8/10/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
9/10/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
10/10/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
11/10/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
12/10/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
13/10/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
14/10/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
15/10/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
16/10/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
17/10/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
18/10/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
19/10/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
20/10/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
21/10/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
22/10/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
23/10/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
24/10/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
25/10/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
26/10/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
27/10/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
28/10/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
29/10/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
30/10/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
31/10/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
1/11/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
2/11/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
3/11/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
4/11/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
5/11/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
6/11/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
7/11/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
8/11/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
9/11/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
10/11/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
11/11/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
12/11/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
13/11/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
14/11/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
15/11/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
16/11/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
17/11/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
18/11/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
19/11/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
20/11/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
21/11/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
22/11/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
23/11/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
24/11/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
25/11/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
26/11/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
27/11/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
28/11/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
29/11/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
30/11/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
1/12/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
2/12/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
3/12/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
4/12/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
5/12/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
6/12/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
7/12/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
8/12/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
9/12/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
10/12/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
11/12/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
12/12/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
13/12/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
14/12/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
15/12/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
16/12/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
17/12/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
18/12/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
